Community Board,Borough,Total Population,White Nonhispanic,Black Nonhispanic,Asian and Pacific Islander Nonhispanic,Other Nonhispanic,Two or More Races Nonhispanic,Hispanic Origin,Female,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 44 years,45 to 64 years,65 years and over,18 years and over,In households,In households - In family households,In households - Householder,In households - Spouse,In households - Own child under 18 years,In households - Other relatives,In households - Nonrelatives,In nonfamily households,In nonfamily households - Householder,In nonfamily households - Householder - Household 65 years and over living alone,In nonfamily households - Nonrelatives,In group quarters,Total Households,Family households ,Family households - Married-couple family ,Family households - Married-couple family - With related children under 18 years,"Family households - Female householder, no husband present ","Family households - Female householder, no husband present - With related children under 18 years","Family households - Male householder, no wife present ","Family households - Male householder, no wife present - With related children under 18 years",Nonfamily households ,Households with one or more persons 65 years and over ,Persons Per Family,Persons Per Household ,Total Housing Units,Occupied Housing Units,Renter occupied ,Owner occupied ,By Household Size - 1  person household ,By Household Size - 2  person household ,By Household Size - 3  person household ,By Household Size - 4  person household ,By Household Size - 5 persons and over ,By Age of Householder - 15 to 24 years  ,By Age of Householder - 25 to 44 years ,By Age of Householder - 45 to 64 years ,By Age of Householder - 65 years and over 
106,Manhattan,"142,745","103,667","4,934","19,917",601,"2,796","10,830","78,339","64,406","4,586","2,840","2,263","4,184","16,318","56,997","33,285","22,272","131,728","136,105","60,740","23,846","19,149","10,523","6,444",778,"75,365","58,282","11,050","17,083","6,640","82,128","23,846","19,149","5,644","3,423","1,307","1,274",387,"58,282","18,247",2.51,1.66,"92,067","82,128","58,016","24,112","44,551","26,293","7,320","3,131",833,"6,454","35,679","22,827","17,168"
107,Manhattan,"209,084","140,850","15,834","15,988",892,"4,173","31,347","113,169","95,915","11,460","8,155","7,028","7,218","11,636","71,965","56,915","34,707","178,087","203,397","124,198","43,877","33,164","28,436","16,761","1,960","79,199","65,181","14,991","14,018","5,687","109,058","43,877","33,164","13,641","8,449","4,225","2,264",928,"65,181","27,323",2.79,1.87,"120,694","109,058","74,831","34,227","53,280","33,077","11,651","7,765","3,285","3,688","41,950","38,024","25,396"
108,Manhattan,"219,920","173,711","7,098","18,945",735,"3,868","15,563","122,663","97,257","11,296","8,417","7,082","5,750","12,768","81,621","54,870","38,116","189,242","214,926","125,630","45,724","38,418","29,961","10,232","1,295","89,296","74,469","16,183","14,827","4,994","120,193","45,724","38,418","15,116","5,625","2,780","1,681",687,"74,469","29,037",2.72,1.79,"136,751","120,193","79,622","40,571","61,421","37,050","11,136","7,749","2,837","5,641","51,167","36,118","27,267"
109,Manhattan,"110,193","25,385","27,109","7,574",669,"2,354","47,102","58,314","51,879","5,386","4,965","5,178","9,116","15,232","35,530","22,940","11,846","91,023","98,560","71,150","20,598","9,465","14,453","22,815","3,819","27,410","19,258","3,938","8,152","11,633","39,856","20,598","9,465","4,514","8,775","4,935","2,358","1,030","19,258","9,468",3.27,2.47,"42,973","39,856","34,828","5,028","13,668","11,386","6,186","4,197","4,419","2,451","15,624","13,670","8,111"
110,Manhattan,"115,723","11,050","72,858","2,833",718,"2,572","25,692","62,529","53,194","7,241","6,783","6,920","8,009","9,434","37,836","27,548","11,952","90,006","111,844","81,184","24,969","8,541","20,404","24,082","3,188","30,660","24,701","5,400","5,959","3,879","49,670","24,969","8,541","4,508","13,443","8,390","2,985","1,413","24,701","10,246",3.12,2.25,"55,513","49,670","43,479","6,191","20,108","13,453","7,296","4,623","4,190","1,907","20,287","18,346","9,130"
111,Manhattan,"120,511","14,442","37,590","6,718",658,"1,813","59,290","64,227","56,284","7,229","7,038","7,432","9,301","10,747","36,865","27,199","14,700","93,463","113,408","87,720","26,287","9,450","20,908","27,707","3,368","25,688","20,822","5,741","4,866","7,103","47,109","26,287","9,450","4,737","14,051","8,593","2,786","1,218","20,822","11,715",3.21,2.41,"50,226","47,109","43,391","3,718","17,163","12,892","7,267","4,787","5,000","1,898","17,686","16,925","10,600"
112,Manhattan,"190,020","33,442","13,954","4,814",900,"1,934","134,976","99,301","90,719","10,678","9,310","10,084","12,616","17,966","59,350","47,034","22,982","152,713","187,285","148,590","41,309","18,871","27,916","52,423","8,071","38,695","27,873","6,475","10,822","2,735","69,182","41,309","18,871","9,113","17,745","9,897","4,693","2,112","27,873","18,297",3.40,2.71,"72,910","69,182","62,730","6,452","20,157","18,581","11,880","8,690","9,874","2,988","24,742","26,904","14,548"
401,Queens,"191,105","86,531","18,738","26,910","2,459","3,762","52,705","92,950","98,155","8,778","7,797","7,801","9,917","16,700","77,796","41,330","20,986","161,248","179,229","125,786","39,030","25,323","25,566","31,811","4,056","53,443","37,603","6,870","15,840","11,876","76,633","39,030","25,323","10,811","9,842","4,893","3,865","1,275","37,603","16,483",3.12,2.34,"83,019","76,633","61,914","14,719","25,565","25,272","11,769","7,683","6,344","3,740","35,594","23,344","13,955"
402,Queens,"113,200","32,470","2,132","36,275",746,"2,370","39,207","55,833","57,367","6,236","5,325","4,890","5,257","8,178","44,962","26,380","11,972","93,667","112,212","85,454","24,695","17,352","16,747","22,105","4,555","26,758","18,657","3,610","8,101",988,"43,352","24,695","17,352","8,306","4,665","1,986","2,678","1,088","18,657","9,368",3.28,2.59,"47,525","43,352","32,381","10,971","12,950","12,918","6,978","5,213","5,293","1,542","19,920","14,465","7,425"
403,Queens,"171,576","20,334","10,683","27,026","1,216","2,209","110,108","82,910","88,666","11,985","10,251","9,425","10,769","14,071","58,693","39,092","17,290","133,837","169,948","146,808","36,690","22,956","29,815","45,186","12,161","23,140","15,714","4,267","7,426","1,628","52,404","36,690","22,956","13,005","8,641","4,715","5,093","2,413","15,714","13,197",3.67,3.24,"56,181","52,404","33,825","18,579","11,491","11,955","9,068","8,063","11,827","1,626","20,778","20,104","9,896"
404,Queens,"172,598","12,343","9,082","57,287","1,051","2,534","90,301","84,178","88,420","11,925","10,494","9,235","10,498","14,488","59,945","39,833","16,180","134,887","171,610","149,846","37,696","23,990","30,151","46,744","11,265","21,764","13,866","3,342","7,898",988,"51,562","37,696","23,990","13,368","8,580","4,516","5,126","2,363","13,866","12,143",3.68,3.33,"54,613","51,562","39,445","12,117","9,620","11,514","9,646","8,691","12,091","1,799","21,107","19,935","8,721"
405,Queens,"169,190","92,814","2,335","13,058",705,"1,628","58,650","86,615","82,575","10,694","9,897","9,700","10,294","11,488","53,474","42,984","20,659","132,709","168,475","144,173","42,768","29,564","32,739","34,024","5,078","24,302","18,994","5,772","5,308",715,"61,762","42,768","29,564","14,468","9,300","5,034","3,904","1,675","18,994","15,644",3.25,2.73,"65,818","61,762","37,609","24,153","15,045","17,350","11,768","10,007","7,592","1,732","23,818","23,618","12,594"
406,Queens,"113,257","62,651","2,823","29,338",604,"2,405","15,436","60,653","52,604","6,145","4,877","4,179","4,387","5,659","35,505","32,065","20,440","95,367","112,757","85,992","29,051","22,112","16,750","16,699","1,380","26,765","23,144","7,189","3,621",500,"52,195","29,051","22,112","8,718","5,054","1,979","1,885",589,"23,144","15,713",2.91,2.16,"55,250","52,195","27,707","24,488","19,970","16,494","7,640","5,179","2,912","1,042","18,299","19,415","13,439"
